sentence,label
ქუთაისში ერთ ერთი კაფე ბარის მფლობელი და სტუმრები თამბაქოს მოწევის წესის,2
არ მინდა დამინახოს რომ ვიცინი ისე ბარი ბარში ვართ ახლა არც მე მაქვს,3
დამახასიათებელი მიწის დამუშავების ტიპური იარაღები თოხი ბარი და სხვ ჩრდილო კავკასიისათვის უცხო იყო,0
და გაპარტახებული სოფელია საქართველოს მთასა და ბარში თითოეული ამ ბარაკის ფასად ხომ სახლ,1
მე მაქვს ერთერთი უნიკალური ნახევრადავტომათი ბროუნინგ ბარ ლონგ ტრასკსი ჰუნტერ ბრაუნინგის წლის მოდელის,3
იგივე მატორში ჩავაბერინე ბარი სტოკი კომპიმაქ და პრობლემა არმქონია დეტონაციასთან,3
დაგასწრო შენ სხვა თემით დაასწრე და ბარი ბარში იქნებით,3
როგორ ითამაშოს თამაში ონლაინ ტორტი ბარი კონტროლის თამაში ტორტი ბარი ბარი ნამცხვრების,3
მაგრამ ფაქტია რომ იქიდან გამოსულმა თაკერმა ბარი დატოვა და პირდაპირ სასტუმროში წავიდა იქიდან,2
ელბაქიძის აღმართზე ქირავდება ინვენტარით იყო ლუდის ბარი ფასი ტელ,2
სამედიცინო ექსპერტი ბარი ალენი წარუმატებელი ექსპერიმენტის მსხვერპლი გახდება თუმცა,3
ბარი და ტონიმ განაცხადეს რომ კიდევ უნდათ,3
თუ როგორ გროვდებიან ქულა ქულა ღრუბლები ბარში ერთ დიდ ფუმფულა საბნად როგორ მოცოცავენ,1
პარტნიორის ძიებაში საეჭვო ყოფაქცევის ქალებით დახუნძლული ბარისაკენ აცეცებდა თვალს,2
საივეკუ როჟე მირმონი ფაბრის დევილლი ბლანდინ ბარი ოლივე სოლერი,3
ნაწყენია ის გიყვებათ რომ მისმა ჯგუფელმა ბარში სათამაშო ამწე მოიტანა და არავის ათხოვა,2
ერთ საღამოს ბარში იყო ვიღაც ბიჭმა თხოვა ცეკვა ბოლოს,2
გადაიხადა გოგოებს დაემშვიდობა და პინტასთან ერთად ბარიდან გავიდა კართან მდგომმა დაინახა თუ როგორ,2
ონლაინ თამაშის დისტანციურად მსგავსი შეაერთეთ ყოველ ბარი იმავე ფერის,3
დეციბელზე მეტი არ უნდა იყოს თუ ბარებსა და რესტორნებს ექვს და უფრო ნაკლებსართულიანი,2
