,Unnamed: 0,text,target
0,0,ქუთაისში ერთ ერთი კაფე ბარის მფლობელი და სტუმრები თამბაქოს მოწევის წესის,2
1,1,არ მინდა დამინახოს რომ ვიცინი ისე ბარი ბარში ვართ ახლა არც მე მაქვს,6
2,2,დამახასიათებელი მიწის დამუშავების ტიპური იარაღები თოხი ბარი და სხვ ჩრდილო კავკასიისათვის უცხო იყო,0
3,3,და გაპარტახებული სოფელია საქართველოს მთასა და ბარში თითოეული ამ ბარაკის ფასად ხომ სახლ,1
4,4,მე მაქვს ერთერთი უნიკალური ნახევრადავტომათი ბროუნინგ ბარ ლონგ ტრასკსი ჰუნტერ ბრაუნინგის წლის მოდელის,4
5,5,იგივე მატორში ჩავაბერინე ბარი სტოკი კომპიმაქ და პრობლემა არმქონია დეტონაციასთან,5
6,6,დაგასწრო შენ სხვა თემით დაასწრე და ბარი ბარში იქნებით,6
7,7,როგორ ითამაშოს თამაში ონლაინ ტორტი ბარი კონტროლის თამაში ტორტი ბარი ბარი ნამცხვრების,5
8,8,მაგრამ ფაქტია რომ იქიდან გამოსულმა თაკერმა ბარი დატოვა და პირდაპირ სასტუმროში წავიდა იქიდან,2
9,9,ელბაქიძის აღმართზე ქირავდება ინვენტარით იყო ლუდის ბარი ფასი ტელ,2
10,10,სამედიცინო ექსპერტი ბარი ალენი წარუმატებელი ექსპერიმენტის მსხვერპლი გახდება თუმცა,4
11,11,ბარი და ტონიმ განაცხადეს რომ კიდევ უნდათ,4
12,12,თუ როგორ გროვდებიან ქულა ქულა ღრუბლები ბარში ერთ დიდ ფუმფულა საბნად როგორ მოცოცავენ,1
13,13,პარტნიორის ძიებაში საეჭვო ყოფაქცევის ქალებით დახუნძლული ბარისაკენ აცეცებდა თვალს,2
14,14,საივეკუ როჟე მირმონი ფაბრის დევილლი ბლანდინ ბარი ოლივე სოლერი,4
15,15,ნაწყენია ის გიყვებათ რომ მისმა ჯგუფელმა ბარში სათამაშო ამწე მოიტანა და არავის ათხოვა,2
16,16,ერთ საღამოს ბარში იყო ვიღაც ბიჭმა თხოვა ცეკვა ბოლოს,2
